Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1985	1985	Harness, Charles L.	https://en.wikipedia.org//wiki/Charles_L._Harness	Nominated	"Summer Solstice"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1985	1985	Landis, Geoffrey A.	https://en.wikipedia.org//wiki/Geoffrey_A._Landis	Nominated	"Elemental"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1986	1986	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Won	"24 Views of Mt. Fuji, by Hokusai"	https://en.wikipedia.org//wiki/24_Views_of_Mt._Fuji,_by_Hokusai	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1986	1986	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Nominated	"Sailing to Byzantium"	https://en.wikipedia.org//w/index.php?title=Sailing_to_Byzantium_(novella)&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1986	1986	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Nominated	"The Only Neat Thing to Do"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1986	1986	Robinson, Kim Stanley	https://en.wikipedia.org//wiki/Kim_Stanley_Robinson	Nominated	"Green Mars"	https://en.wikipedia.org//wiki/Mars_trilogy	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1986	1986	Cherryh, C. J.	https://en.wikipedia.org//wiki/C._J._Cherryh	Nominated	"The Scapegoat"	https://en.wikipedia.org//wiki/The_Scapegoat_(novella)	Alien Stars (Baen Books)	https://en.wikipedia.org//wiki/Baen_Books
1987	1987	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Won	"Gilgamesh in the Outback"	https://en.wikipedia.org//wiki/Gilgamesh_in_the_Outback	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1987	1987	Robinson, Kim Stanley	https://en.wikipedia.org//wiki/Kim_Stanley_Robinson	Nominated	"Escape from Kathmandu"	https://en.wikipedia.org//wiki/Escape_from_Kathmandu	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1987	1987	Shepard, Lucius	https://en.wikipedia.org//wiki/Lucius_Shepard	Nominated	"R&R"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
