Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1989	1989	McDevitt, Jack	https://en.wikipedia.org/wiki/Jack_McDevitt	Nominated	"The Fort Moxie Branch"		Full Spectrum (Doubleday)	https://en.wikipedia.org/wiki/Full_Spectrum
1990	1990	Charnas, Suzy McKee	https://en.wikipedia.org/wiki/Suzy_McKee_Charnas	Won	"Boobs"	https://en.wikipedia.org//w/index.php?title=Boobs_(short_story)&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1990	1990	Card, Orson Scott	https://en.wikipedia.org/wiki/Orson_Scott_Card	Nominated	"Lost Boys"	https://en.wikipedia.org/wiki/Lost_Boys_(novel)#Short_story	Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1990	1990	Gunn, Eileen	https://en.wikipedia.org/wiki/Eileen_Gunn	Nominated	"Computer Friendly"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1990	1990	Niven, Larry	https://en.wikipedia.org/wiki/Larry_Niven	Nominated	"The Return of William Proxmire"	https://en.wikipedia.org/wiki/The_Return_of_William_Proxmire	What Might Have Been? Vol. 1: Alternate Empires (Bantam Spectra)	https://en.wikipedia.org/wiki/Bantam_Spectra
1990	1990	Swanwick, Michael	https://en.wikipedia.org/wiki/Michael_Swanwick	Nominated	"The Edge of the World"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1990	1990	Sterling, Bruce	https://en.wikipedia.org/wiki/Bruce_Sterling	Nominated	"Dori Bangs"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1991	1991	Bisson, Terry	https://en.wikipedia.org/wiki/Terry_Bisson	Won	"Bears Discover Fire"	https://en.wikipedia.org/wiki/Bears_Discover_Fire	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1991	1991	Willis, Connie	https://en.wikipedia.org/wiki/Connie_Willis	Nominated	"Cibola"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1991	1991	Sheffield, Charles	https://en.wikipedia.org/wiki/Charles_Sheffield	Nominated	"Godspeed"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1991	1991	Reed, Robert	https://en.wikipedia.org/wiki/Robert_Reed_(author)	Nominated	"The Utility Man"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1991	1991	Thompson, W. R.		Nominated	"VRM-547"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1992	1992	Landis, Geoffrey A.	https://en.wikipedia.org/wiki/Geoffrey_A._Landis	Won	"A Walk in the Sun"	https://en.wikipedia.org/wiki/A_Walk_in_the_Sun_(story)	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1992	1992	Resnick, Mike	https://en.wikipedia.org/wiki/Mike_Resnick	Nominated	"One Perfect Morning, With Jackals"	https://en.wikipedia.org/wiki/Kirinyaga_(novel)	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1992	1992	Willis, Connie	https://en.wikipedia.org/wiki/Connie_Willis	Nominated	"In the Late Cretaceous"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1992	1992	Resnick, Mike	https://en.wikipedia.org/wiki/Mike_Resnick	Nominated	"Winter Solstice"		Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1992	1992	Bisson, Terry	https://en.wikipedia.org/wiki/Terry_Bisson	Nominated	"Press Ann"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
