

Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1987	1987	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Won	"Permafrost"	https://en.wikipedia.org//wiki/Permafrost_(story)	Omni	https://en.wikipedia.org//wiki/Omni_(magazine)
1987	1987	Brin, David	https://en.wikipedia.org//wiki/David_Brin	Nominated	"Thor Meets Captain America"	https://en.wikipedia.org//wiki/Thor_Meets_Captain_America	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1987	1987	Gibson, William	https://en.wikipedia.org//wiki/William_Gibson	Nominated	"The Winter Market"	https://en.wikipedia.org//wiki/The_Winter_Market	Stardate
1987	1987	Card, Orson Scott	https://en.wikipedia.org//wiki/Orson_Scott_Card	Nominated	"Hatrack River"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1987	1987	Vinge, Vernor	https://en.wikipedia.org//wiki/Vernor_Vinge	Nominated	"The Barbarian Princess"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1988	1988	Le Guin, Ursula K.	https://en.wikipedia.org//wiki/Ursula_K._Le_Guin	Won	"Buffalo Gals, Won't You Come Out Tonight"	https://en.wikipedia.org//wiki/Buffalo_Gals,_Won%27t_You_Come_Out_Tonight	Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1988	1988	Murphy, Pat	https://en.wikipedia.org//wiki/Pat_Murphy_(writer)	Nominated	"Rachel in Love"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1988	1988	Williams, Walter Jon	https://en.wikipedia.org//wiki/Walter_Jon_Williams	Nominated	"Dinosaurs"	https://en.wikipedia.org//wiki/Dinosaurs_(story)	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1988	1988	Sterling, Bruce	https://en.wikipedia.org//wiki/Bruce_Sterling	Nominated	"Flowers of Edo"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1988	1988	McAllister, Bruce	https://en.wikipedia.org//wiki/Bruce_McAllister	Nominated	"Dream Baby"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1989	1989	Effinger, George Alec	https://en.wikipedia.org//wiki/George_Alec_Effinger	Won	"Schrödinger's Kitten"	https://en.wikipedia.org//wiki/Schr%C3%B6dinger%27s_Kitten	Omni	https://en.wikipedia.org//wiki/Omni_(magazine)
1989	1989	Gould, Steven	https://en.wikipedia.org//wiki/Steven_Gould	Nominated	"Peaches for Mad Molly"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1989	1989	Waldrop, Howard	https://en.wikipedia.org//wiki/Howard_Waldrop	Nominated	"Do Ya, Do Ya, Wanna Dance?"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1989	1989	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	"The Function of Dream Sleep"		Midnight Graffiti
1989	1989	Barrett, Jr., Neal	https://en.wikipedia.org//wiki/Neal_Barrett,_Jr.	Nominated	"Ginny Sweethips' Flying Circus"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
